barcode,name,brand,category,sub_category,price,market_price,rating,barcode_source
8908005312567,Caramel Popcorn - Himalayan Salt,4700BC,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",44.1,49.0,,openfoodfacts
8901764011252,Soft Drink - Original Taste,Coca-Cola,Beverages,Energy & Soft Drinks,85.0,85.0,4.3,openfoodfacts
8908005312611,Cheese Popcorn - Sriracha Lime,4700BC,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",35.1,39.0,,openfoodfacts
4060800304360,Soft Drink - Lemon,7 Up,Beverages,Energy & Soft Drinks,145.8,180.0,4.3,openfoodfacts
8901192214119,Chicken Masala,Catch,"Foodgrains, Oil & Masala",Masalas & Spices,108.32,144.0,4.2,openfoodfacts
0041570030837,Almonds - Smokehouse,Blue Diamond,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",350.0,350.0,3.2,openfoodfacts
0884912356185,Cereals - Cocoa Pebbles,Post,Gourmet & World Food,Cereals & Breakfast,899.0,899.0,,openfoodfacts
8904083504894,Organic Poha - Red,24 Mantra,"Foodgrains, Oil & Masala",Organic Staples,75.0,75.0,4.1,openfoodfacts
8901192212115,Pav Bhaji Masala,Catch,"Foodgrains, Oil & Masala",Masalas & Spices,56.1,66.0,4.2,openfoodfacts
8904011502541,Jaggery Powder,Double Horse,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",69.0,69.0,3.0,openfoodfacts
8906033744732,Coconut Cookies,Tasties,Snacks & Branded Foods,Biscuits & Cookies,80.67,120.0,,openfoodfacts
8906188960018,Choco Nut Cookies,Unibic,Snacks & Branded Foods,Biscuits & Cookies,132.0,165.0,4.6,openfoodfacts
8850987131240,Instant Noodles - Kimchi,Mama,Gourmet & World Food,"Pasta, Soup & Noodles",85.0,85.0,4.4,openfoodfacts
8850291010408,Pistachios - Salted,Tong Garden,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",382.5,450.0,3.2,openfoodfacts
8001876021047,Olive Oil,Colavita,Gourmet & World Food,Oils & Vinegar,695.0,695.0,4.3,openfoodfacts
0016229916411,Coconut Water With Mango,FOCO,Gourmet & World Food,Drinks & Beverages,95.0,95.0,,openfoodfacts
8901786391011,Powder - Tikhalal Chilli,Everest,"Foodgrains, Oil & Masala",Masalas & Spices,91.18,94.0,4.2,openfoodfacts
6001011312971,Baby Cream,Johnson's baby,Baby Care,Baby Bath & Hygiene,75.0,75.0,4.5,openfoodfacts
8901192101013,Black Pepper Powder,Catch,"Foodgrains, Oil & Masala",Masalas & Spices,127.5,150.0,4.3,openfoodfacts
8901014000357,Noodles - Chicken,Top Ramen,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",15.0,15.0,4.1,openfoodfacts
8906021121132,Masala - Fish Fry,Aachi,"Foodgrains, Oil & Masala",Masalas & Spices,23.4,26.0,4.1,openfoodfacts
8901030834820,Desi Kulfi,kwality walls,"Bakery, Cakes & Dairy",Ice Creams & Desserts,50.0,50.0,3.0,openfoodfacts
8906101090105,"Milk Drink - Strawberry, Chocolate, Jaggery",Again,Gourmet & World Food,Drinks & Beverages,50.0,50.0,4.1,openfoodfacts
5010338104023,Rich Hoisin Sauce,Blue Dragon,Gourmet & World Food,"Sauces, Spreads & Dips",175.0,175.0,4.0,openfoodfacts
8901725119423,Mom's Magic Cookies - Cashew & Almond,Sunfeast,Snacks & Branded Foods,Biscuits & Cookies,91.35,105.0,4.3,openfoodfacts
8901262173599,Rajbhog Ice Cream,Amul,"Bakery, Cakes & Dairy",Ice Creams & Desserts,35.0,35.0,3.5,openfoodfacts
